,date,staff_ids
871,2023-05-25,[1]
872,2023-05-26,"[1, 2, 5]"
873,2023-05-27,"[5, 3]"
874,2023-05-28,[1]
875,2023-05-29,[2]
876,2023-05-30,[2]
877,2023-05-31,[3]
878,2023-06-01,[2]
879,2023-06-02,"[4, 1]"
880,2023-06-03,"[4, 3]"
881,2023-06-04,[1]
882,2023-06-05,"[2, 4, 1]"
883,2023-06-06,"[2, 4, 3]"
884,2023-06-07,"[2, 4, 5]"
885,2023-06-08,[1]
886,2023-06-09,"[5, 4, 2]"
887,2023-06-10,"[1, 3]"
888,2023-06-11,[1]
889,2023-06-12,"[2, 5, 1]"
890,2023-06-13,"[2, 5]"
891,2023-06-14,"[1, 3, 5]"
892,2023-06-15,"[1, 3, 5]"
